Zvalue	Max	Min	zRange	zRangePrev	IO
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9114	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9115	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9116	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9117	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9118	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
